Topic Name,Sub-topic Name,Difficulty,LeetCode Question,LeetCode Link
Greedy Algorithms,Advanced Greedy Problems,Hard,Candy (Candy Distribution),https://leetcode.com/problems/candy
Greedy Algorithms,Advanced Greedy Problems,Medium,Jump Game (I),https://leetcode.com/problems/jump-game
Greedy Algorithms,Advanced Greedy Problems,Medium *,Jump Game III,https://leetcode.com/problems/jump-game-iii
Greedy Algorithms,Advanced Greedy Problems,Hard *,Jump Game IV,https://leetcode.com/problems/jump-game-iv
Heap/Priority Queue,Basic Heap Operations,Medium,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array
Heap/Priority Queue,Basic Heap Operations,Easy *,Last Stone Weight,https://leetcode.com/problems/last-stone-weight
Heap/Priority Queue,Basic Heap Operations,Medium *,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements
Heap/Priority Queue,Basic Heap Operations,Medium *,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin
Heap/Priority Queue,Basic Heap Operations,Medium *,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency
Heap/Priority Queue,Basic Heap Operations,Medium *,Reorganize String,https://leetcode.com/problems/reorganize-string
Heap/Priority Queue,Heap Applications,Medium,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements
Heap/Priority Queue,Heap Applications,Hard,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists
Heap/Priority Queue,Heap Applications,Hard,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream
Heap/Priority Queue,Heap Applications,Medium *,Task Scheduler,https://leetcode.com/problems/task-scheduler
Heap/Priority Queue,Heap Applications,Hard *,Sliding Window Median,https://leetcode.com/problems/sliding-window-median
Heap/Priority Queue,Heap Applications,Medium *,Design Twitter,https://leetcode.com/problems/design-twitter
Heap/Priority Queue,Heap Applications,Hard *,IPO,https://leetcode.com/problems/ipo
Heap/Priority Queue,Heap Applications,Medium *,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words
Heap/Priority Queue,Advanced Heap Problems,Hard,Sliding Window Median,https://leetcode.com/problems/sliding-window-median
Heap/Priority Queue,Advanced Heap Problems,Hard,Employee Free Time,https://leetcode.com/problems/employee-free-time
Heap/Priority Queue,Advanced Heap Problems,Hard *,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem
Heap/Priority Queue,Advanced Heap Problems,Easy *,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array
Trie (Prefix Tree),Basic Trie Operations,Medium,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree
Trie (Prefix Tree),Basic Trie Operations,Medium,Add and Search Word,https://leetcode.com/problems/add-and-search-word-data-structure-design
Trie (Prefix Tree),Basic Trie Operations,Hard,Prefix and Suffix Search,https://leetcode.com/problems/prefix-and-suffix-search
Trie (Prefix Tree),Basic Trie Operations,Medium *,Implement Magic Dictionary,https://leetcode.com/problems/implement-magic-dictionary
Trie (Prefix Tree),Basic Trie Operations,Medium *,Design Add and Search Words,https://leetcode.com/problems/design-add-and-search-words-data-structure
Trie (Prefix Tree),Trie Applications,Hard,Word Search II,https://leetcode.com/problems/word-search-ii
Trie (Prefix Tree),Trie Applications,Medium,Replace Words,https://leetcode.com/problems/replace-words
Trie (Prefix Tree),Trie Applications,Medium,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array
Trie (Prefix Tree),Trie Applications,Medium *,Map Sum Pairs,https://leetcode.com/problems/map-sum-pairs
Trie (Prefix Tree),Trie Applications,Hard *,Concatenated Words,https://leetcode.com/problems/concatenated-words
Trie (Prefix Tree),Advanced Trie Problems,Hard,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs
Trie (Prefix Tree),Advanced Trie Problems,Hard,Stream of Characters,https://leetcode.com/problems/stream-of-characters
Trie (Prefix Tree),Advanced Trie Problems,Hard *,Word Squares,https://leetcode.com/problems/word-squares
Trie (Prefix Tree),Advanced Trie Problems,Hard *,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system
Trie (Prefix Tree),Advanced Trie Problems,Medium *,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system
---------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,
Arrays,Prefix Sum,Easy,https://codeforces.com/problemset/problem/1343/C,https://codeforces.com/problemset/problem/1343/C
Arrays,Prefix Sum,Hard,https://codeforces.com/problemset/problem/1077/D,https://codeforces.com/problemset/problem/1077/D
Arrays,Two Pointers,Medium,https://codeforces.com/problemset/problem/1132/C,https://codeforces.com/problemset/problem/1132/C
Arrays,Two Pointers,Hard,https://codeforces.com/problemset/problem/1157/E,https://codeforces.com/problemset/problem/1157/E
Binary Search,Binary Search,Easy,https://codeforces.com/problemset/problem/1105/B,https://codeforces.com/problemset/problem/1105/B
Binary Search,Binary Search,Hard,https://codeforces.com/problemset/problem/1557/B,https://codeforces.com/problemset/problem/1557/B
Sorting,Custom Sort,Medium,https://codeforces.com/problemset/problem/1385/C,https://codeforces.com/problemset/problem/1385/C
Sorting,Custom Sort,Hard,https://codeforces.com/problemset/problem/1422/D,https://codeforces.com/problemset/problem/1422/D
Greedy,Classic Greedy,Medium,https://codeforces.com/problemset/problem/1370/C,https://codeforces.com/problemset/problem/1370/C
Greedy,Classic Greedy,Hard,https://codeforces.com/problemset/problem/1354/E,https://codeforces.com/problemset/problem/1354/E
Hashing,Frequency Map,Medium,https://codeforces.com/problemset/problem/1296/D,https://codeforces.com/problemset/problem/1296/D
Hashing,Frequency Map,Hard,https://codeforces.com/problemset/problem/932/B,https://codeforces.com/problemset/problem/932/B
Strings,Palindrome Check,Easy,https://codeforces.com/problemset/problem/1321/A,https://codeforces.com/problemset/problem/1321/A
Strings,Palindrome Check,Hard,https://codeforces.com/problemset/problem/1328/D,https://codeforces.com/problemset/problem/1328/D
Strings,String Matching,Medium,https://codeforces.com/problemset/problem/1146/D,https://codeforces.com/problemset/problem/1146/D
Strings,String Matching,Hard,https://codeforces.com/problemset/problem/1110/D,https://codeforces.com/problemset/problem/1110/D
Mathematics,Number Theory,Medium,https://codeforces.com/problemset/problem/1272/C,https://codeforces.com/problemset/problem/1272/C
Mathematics,Number Theory,Hard,https://codeforces.com/problemset/problem/1371/D,https://codeforces.com/problemset/problem/1371/D
Mathematics,Bit Manipulation,Medium,https://codeforces.com/problemset/problem/1352/D,https://codeforces.com/problemset/problem/1352/D
Mathematics,Bit Manipulation,Hard,https://codeforces.com/problemset/problem/1385/F,https://codeforces.com/problemset/problem/1385/F
2 Pointers,Sliding Window,Medium,https://codeforces.com/problemset/problem/1167/C,https://codeforces.com/problemset/problem/1167/C
2 Pointers,Sliding Window,Hard,https://codeforces.com/problemset/problem/1322/B,https://codeforces.com/problemset/problem/1322/B
Recursion/Backtracking,Subset Generation,Easy,https://codeforces.com/problemset/problem/1036/D,https://codeforces.com/problemset/problem/1036/D
Recursion/Backtracking,Subset Generation,Hard,https://codeforces.com/problemset/problem/1372/B,https://codeforces.com/problemset/problem/1372/B
Trees/Graphs,DFS,Medium,https://codeforces.com/problemset/problem/1324/D,https://codeforces.com/problemset/problem/1324/D
Trees/Graphs,DFS,Hard,https://codeforces.com/problemset/problem/1201/D,https://codeforces.com/problemset/problem/1201/D
Trees/Graphs,BFS,Medium,https://codeforces.com/problemset/problem/1284/B,https://codeforces.com/problemset/problem/1284/B
Trees/Graphs,BFS,Hard,https://codeforces.com/problemset/problem/1163/D,https://codeforces.com/problemset/problem/1163/D
Trees/Graphs,Tree Queries,Hard,https://codeforces.com/problemset/problem/1348/B,https://codeforces.com/problemset/problem/1348/B
Dynamic Programming,DP on Arrays,Easy,https://codeforces.com/problemset/problem/1350/A,https://codeforces.com/problemset/problem/1350/A
Dynamic Programming,DP on Arrays,Medium,https://codeforces.com/problemset/problem/1183/D,https://codeforces.com/problemset/problem/1183/D
Dynamic Programming,DP on Arrays,Hard,https://codeforces.com/problemset/problem/1095/D,https://codeforces.com/problemset/problem/1095/D
Dynamic Programming,Knapsack,Hard,https://codeforces.com/problemset/problem/1370/E,https://codeforces.com/problemset/problem/1370/E
Dynamic Programming,Subset Sum,Hard,https://codeforces.com/problemset/problem/1368/C,https://codeforces.com/problemset/problem/1368/C
Math/Combinatorics,Modular Arithmetic,Medium,https://codeforces.com/problemset/problem/1325/E,https://codeforces.com/problemset/problem/1325/E
Math/Combinatorics,Modular Arithmetic,Hard,https://codeforces.com/problemset/problem/1304/E,https://codeforces.com/problemset/problem/1304/E
Binary Search,Lower Bound,Hard,https://codeforces.com/problemset/problem/1400/C,https://codeforces.com/problemset/problem/1400/C
Graph Algorithms,Dijkstra/Shortest Path,Hard,https://codeforces.com/problemset/problem/1197/C,https://codeforces.com/problemset/problem/1197/C
Graph Algorithms,Spanning Trees,Hard,https://codeforces.com/problemset/problem/1294/D,https://codeforces.com/problemset/problem/1294/D
Flow/Matching,Maximum Flow,Hard,https://codeforces.com/problemset/problem/1253/E,https://codeforces.com/problemset/problem/1253/E
Arrays,Prefix Sum,Hard,https://codeforces.com/problemset/problem/1324/C,https://codeforces.com/problemset/problem/1324/C
Arrays,Prefix Sum,Hard,https://codeforces.com/problemset/problem/1243/B2,https://codeforces.com/problemset/problem/1243/B2
Arrays,Two Pointers,Hard,https://codeforces.com/problemset/problem/1312/D,https://codeforces.com/problemset/problem/1312/D
Arrays,Two Pointers,Hard,https://codeforces.com/problemset/problem/1272/E,https://codeforces.com/problemset/problem/1272/E
Binary Search,Binary Search,Hard,https://codeforces.com/problemset/problem/1234/C,https://codeforces.com/problemset/problem/1234/C
Binary Search,Binary Search,Hard,https://codeforces.com/problemset/problem/1261/A,https://codeforces.com/problemset/problem/1261/A
Sorting,Custom Sort,Hard,https://codeforces.com/problemset/problem/1307/D,https://codeforces.com/problemset/problem/1307/D
Sorting,Custom Sort,Hard,https://codeforces.com/problemset/problem/1237/B,https://codeforces.com/problemset/problem/1237/B
Greedy,Classic Greedy,Hard,https://codeforces.com/problemset/problem/1364/C,https://codeforces.com/problemset/problem/1364/C
Greedy,Classic Greedy,Hard,https://codeforces.com/problemset/problem/1372/C,https://codeforces.com/problemset/problem/1372/C
Strings,Palindrome Check,Hard,https://codeforces.com/problemset/problem/1381/B,https://codeforces.com/problemset/problem/1381/B
Strings,Palindrome Check,Hard,https://codeforces.com/problemset/problem/1288/D,https://codeforces.com/problemset/problem/1288/D
Strings,String Matching,Hard,https://codeforces.com/problemset/problem/1290/C,https://codeforces.com/problemset/problem/1290/C
Strings,String Matching,Hard,https://codeforces.com/problemset/problem/1354/G,https://codeforces.com/problemset/problem/1354/G
Mathematics,Number Theory,Hard,https://codeforces.com/problemset/problem/1285/E,https://codeforces.com/problemset/problem/1285/E
Mathematics,Number Theory,Hard,https://codeforces.com/problemset/problem/1307/B,https://codeforces.com/problemset/problem/1307/B
Mathematics,Bit Manipulation,Hard,https://codeforces.com/problemset/problem/1349/B,https://codeforces.com/problemset/problem/1349/B
Mathematics,Bit Manipulation,Hard,https://codeforces.com/problemset/problem/1238/D,https://codeforces.com/problemset/problem/1238/D
Two Pointers,Sliding Window,Hard,https://codeforces.com/problemset/problem/1263/D,https://codeforces.com/problemset/problem/1263/D
Two Pointers,Sliding Window,Hard,https://codeforces.com/problemset/problem/1343/F,https://codeforces.com/problemset/problem/1343/F
Recursion/Backtracking,Subset Generation,Hard,https://codeforces.com/problemset/problem/1282/B2,https://codeforces.com/problemset/problem/1282/B2
Recursion/Backtracking,Subset Generation,Hard,https://codeforces.com/problemset/problem/1353/F,https://codeforces.com/problemset/problem/1353/F
Trees/Graphs,DFS,Hard,https://codeforces.com/problemset/problem/1369/D,https://codeforces.com/problemset/problem/1369/D
Trees/Graphs,DFS,Hard,https://codeforces.com/problemset/problem/1355/E,https://codeforces.com/problemset/problem/1355/E
Trees/Graphs,BFS,Hard,https://codeforces.com/problemset/problem/1392/F,https://codeforces.com/problemset/problem/1392/F
Trees/Graphs,BFS,Hard,https://codeforces.com/problemset/problem/1321/B,https://codeforces.com/problemset/problem/1321/B
Trees/Graphs,Tree Queries,Hard,https://codeforces.com/problemset/problem/1332/F,https://codeforces.com/problemset/problem/1332/F
Dynamic Programming,DP on Arrays,Hard,https://codeforces.com/problemset/problem/1323/D,https://codeforces.com/problemset/problem/1323/D
Dynamic Programming,DP on Arrays,Hard,https://codeforces.com/problemset/problem/1342/B,https://codeforces.com/problemset/problem/1342/B
Dynamic Programming,Knapsack,Hard,https://codeforces.com/problemset/problem/1309/B,https://codeforces.com/problemset/problem/1309/B
Dynamic Programming,Subset Sum,Hard,https://codeforces.com/problemset/problem/1325/F,https://codeforces.com/problemset/problem/1325/F
Math/Combinatorics,Modular Arithmetic,Hard,https://codeforces.com/problemset/problem/1350/C,https://codeforces.com/problemset/problem/1350/C
Binary Search,Lower Bound,Hard,https://codeforces.com/problemset/problem/1301/B,https://codeforces.com/problemset/problem/1301/B
Graph Algorithms,Dijkstra/Shortest Path,Hard,https://codeforces.com/problemset/problem/1320/D,https://codeforces.com/problemset/problem/1320/D
Graph Algorithms,Spanning Trees,Hard,https://codeforces.com/problemset/problem/1358/E,https://codeforces.com/problemset/problem/1358/E
Flow/Matching,Maximum Flow,Hard,https://codeforces.com/problemset/problem/1373/D,https://codeforces.com/problemset/problem/1373/D
Flow/Matching,Maximum Flow,Hard,https://codeforces.com/problemset/problem/1264/D,https://codeforces.com/problemset/problem/1264/D
